date,open,high,low,close,volume,amount,turn,pctChg
2017-06-13,5.3315884800,6.3970292700,5.3315884800,6.3970292700,6900,99823.0000,0.036316,44.027640
2017-06-14,7.0371706500,7.0371706500,7.0371706500,7.0371706500,1000,16050.0000,0.005263,10.006850
2017-06-15,7.7430799800,7.7430799800,7.7430799800,7.7430799800,2300,40618.0000,0.012105,10.031160
2017-06-16,8.5191417900,8.5191417900,8.5191417900,8.5191417900,3900,75777.0000,0.020526,10.022650
2017-06-19,9.3697406100,9.3697406100,9.3697406100,9.3697406100,17000,363290.0000,0.089474,9.984563
2017-06-20,10.3080300300,10.3080300300,10.3080300300,10.3080300300,20800,489008.0000,0.109474,10.014040
2017-06-21,11.3383945800,11.3383945800,11.3383945800,11.3383945800,33700,871482.0000,0.177368,9.995749
2017-06-22,12.4739878500,12.4739878500,12.4739878500,12.4739878500,37235,1059335.0000,0.195974,10.015470
2017-06-23,13.7235789000,13.7235789000,13.7235789000,13.7235789000,199622,6248168.0000,1.050642,10.017570
2017-06-26,15.0959367900,15.0959367900,15.0959367900,15.0959367900,331175,11402355.0000,1.743026,10.000000
2017-06-27,16.4419875000,16.6042151100,16.0035345000,16.6042151100,6573277,247321775.0000,34.596195,9.991282
2017-06-28,16.1306858700,16.8804405000,15.4686218400,15.7930770600,10065163,366897328.0000,52.974542,-4.885129
2017-06-29,16.5296781000,16.8804405000,15.4905444900,15.6308494500,10113332,373158320.0000,53.228063,-1.027204
2017-06-30,14.9512473000,16.0035345000,14.6136384900,15.0170152500,9681781,338869456.0000,50.956742,-3.927073
2017-07-03,14.6881755000,14.7890196900,14.2541070300,14.6180230200,6243044,206683196.0000,32.858126,-2.656934
2017-07-04,14.6224075500,14.8591721700,14.4119501100,14.7320208000,5038999,168413432.0000,26.521047,0.779839
2017-07-05,14.6881755000,15.3414704700,14.5785622500,15.2932406400,6499794,222896193.0000,34.209442,3.809532
2017-07-06,15.0959367900,15.2187036300,14.7320208000,15.0608605500,5300893,181509911.0000,27.899437,-1.519503
2017-07-07,14.9600163600,15.4861599600,14.9600163600,15.0520914900,6058584,210880923.0000,31.887284,-0.058214
2017-07-10,14.6487147300,14.7977887500,14.0348805300,14.0831103600,5279570,172873300.0000,27.787211,-6.437527
2017-07-11,14.0348805300,14.2058772000,13.8945755700,13.9647280500,2481211,79454761.0000,13.059005,-0.840593
2017-07-12,14.0129578800,14.2190307900,13.8375766800,14.1795700200,2304089,73820365.0000,12.126784,1.538461
2017-07-13,14.1269556600,14.1269556600,13.7586551400,13.8025004400,2315689,73402648.0000,12.187837,-2.659247
2017-07-14,13.7279634300,13.8682683900,13.5394286400,13.5613512900,1924800,60081354.0000,10.130526,-1.747139
2017-07-17,13.1053601700,13.2325115400,12.2065315200,12.2065315200,3700395,105623868.0000,19.475763,-9.990301
2017-07-18,12.0530729700,12.3643746000,11.9259216000,12.2153005800,1877000,52152786.0000,9.878947,0.071841
2017-07-19,12.1889934000,12.2591458800,11.9259216000,12.1802243400,1601042,44288420.0000,8.426537,-0.287150
2017-07-20,12.0574575000,12.3994508400,12.0136122000,12.0399193800,1860200,51909736.0000,9.790526,-1.151914
2017-07-21,12.0092276700,12.2459922900,11.8513845900,11.9303061300,1632131,44719196.0000,8.590163,-0.910415
2017-07-24,11.7724630500,12.1539171600,11.6628498000,12.0881492100,1723400,46742430.0000,9.070526,1.323045
2017-07-25,11.9785359600,12.1626862200,11.9741514300,12.0662265600,1177100,32380366.0000,6.195263,-0.181354
2017-07-26,12.0267657900,12.1144563900,11.7768475800,11.8338464700,1036200,28203923.0000,5.453684,-1.925874
2017-07-27,11.7943857000,12.3731436600,11.7505404000,12.2942221200,2316323,64062913.0000,12.191174,3.890334
2017-07-28,12.2284541700,12.3161447700,11.9785359600,12.0136122000,1558000,43079861.0000,8.200000,-2.282458
2017-07-31,12.0179967300,12.1013028000,11.8952298900,11.9916895500,850200,23285871.0000,4.474737,-0.182479
2017-08-01,12.0136122000,12.0749956200,11.8426155300,12.0136122000,938300,25607461.0000,4.938421,0.182813
2017-08-02,11.9829204900,12.0355348500,11.7549249300,11.8294619400,1089800,29610973.0000,5.735789,-1.532847
2017-08-03,11.7768475800,12.0530729700,11.7768475800,11.8557691200,1140795,31001510.0000,6.004184,0.222392
2017-08-04,11.8601536500,11.9873050200,11.7198486900,11.7242332200,1024600,27676139.0000,5.392632,-1.109472
2017-08-07,11.7154641600,11.9259216000,11.6891569800,11.8163083500,594500,16048780.0000,3.128947,0.785344
2017-08-08,11.8206928800,11.8689227100,11.7066951000,11.7505404000,825628,22164909.0000,4.345411,-0.556592
2017-08-09,11.7286177500,11.7943857000,11.6409271500,11.6453116800,643000,17158594.0000,3.384211,-0.895522
2017-08-10,11.6190045000,11.6935415100,11.3559327000,11.3866244100,914100,23971689.0000,4.811053,-2.221386
2017-08-11,11.2726266300,11.3471636400,11.1410907300,11.1673979100,799583,20487531.0000,4.208332,-1.925298
2017-08-14,11.1673979100,11.3559327000,11.0928609000,11.3340100500,612914,15789173.0000,3.225863,1.491956
